product_id		attribute_id		attribute_value
1266746001		shop_the_look_0		1241132001;;1252598002;;1252421001
1266746001		shop_the_look_1		1230597001;;1190723001;;1248145001
1239179004		shop_the_look_0		1282712001;;1262813001;;1210376001
1251060001		shop_the_look_0		1246551001;;1102691006;;1264015001
1251060001		shop_the_look_1		1240754001;;1214832001;;1230606001
1245170001		shop_the_look_0		1208911007;;1258987001;;1094272001
1245170001		shop_the_look_1		1230578001;;1230615005;;1195882001
1214832002		shop_the_look_0		1204130001;;1198038001;;1243644002
1214832002		shop_the_look_1		1248999003;;1240129002;;1215841003
0973537053		shop_the_look_0		0753391002;;1216694001;;1238168002
0973537053		shop_the_look_1		1251659001;;1208911007;;1237918002
0973537053		shop_the_look_2		1240595001;;1230595001;;1247098001
1244394001		shop_the_look_0		1241269001;;1241505001;;1242917001
1244394001		shop_the_look_1		1257585001;;1238876001;;1238878001
1232462001		shop_the_look_0		1236348001;;1255091001;;1253485001
1232462001		shop_the_look_1		1255205001;;1214832002;;1254732001
1152852006		shop_the_look_0		1235443001;;1244397001;;1248922001
1152852006		shop_the_look_1		1247098001;;1275617001;;1190723001
1251089001		shop_the_look_0		1243946001;;1102691003;;1192716001
1251089001		shop_the_look_1		1238876001;;1238878001;;1257585001
1240634001		shop_the_look_0		1242783001;;1254569001;;1250143001
1240634001		shop_the_look_1		1011037002;;0252867004;;1261873001
1240634001		shop_the_look_2		1247098001;;1190723001;;1218892001
1261726001		shop_the_look_0		1256424001;;1221948003;;1222658003
0969093033		shop_the_look_0		1238450001;;1245170001;;1200470002
0969093033		shop_the_look_1		1240754001;;1214832001;;1230615005
1250483001		shop_the_look_0		1242419001;;1241678002;;1252598002
1250483001		shop_the_look_1		1190723001;;1218892001;;1271847001
1232041003		shop_the_look_0		1242912001;;1129676011;;1129676006
1232041003		shop_the_look_1		1230603001;;1249821001;;1247098001
1213115003		shop_the_look_0		1102691003;;1244394002;;1258754001
1213115003		shop_the_look_1		1218892001;;1275616001;;1233583001
1182271005		shop_the_look_0		1242415001;;1235853002;;1271748002
1182271005		shop_the_look_1		1271847001;;1243591002;;1190723001
1249871001		shop_the_look_0		1251463002;;1258287002;;1246154001
1178447002		shop_the_look_0		1244429001;;1243946001;;1187053007
1178447002		shop_the_look_1		1238880001;;1238876001;;1238878001
1255832001		shop_the_look_0		1242189001;;1271748002;;1242908002
1276162003		shop_the_look_0		1275615001;;1190729001;;1256319001
1242180001		shop_the_look_0		1242174001;;1271457001;;1248999001
1242180001		shop_the_look_1		1230615005;;1233140001;;1244387001
1244447002		shop_the_look_0		1244395001;;1248999001;;1237918001
1244447002		shop_the_look_1		1257585001;;1238878001;;1238876001
0888940046		shop_the_look_0		1243648001;;1271481001;;1210376001
1230597002		shop_the_look_0		1243089001;;1250546001;;1250560001
1230597002		shop_the_look_1		1271459002;;1232767001;;1271459001
1242188001		shop_the_look_0		1242189001;;1245358001;;1094272001
1242188001		shop_the_look_1		1230615005;;1233583001;;1230606001
0960679086		shop_the_look_0		1282712001;;1207891004;;1251542001
0960679086		shop_the_look_1		1230597001;;1247098001;;1233583001
1260425001		shop_the_look_0		1229902001;;1229413005;;1229684006
1260425001		shop_the_look_1		1240754001;;1230603001;;1239979001
1243118002		shop_the_look_0		1252170002;;1242178001;;1246547001
